Target,,,,,Accounts,,,,,,API Calls,,,,,,Algorithm,Supported Algorithms,,,,,,,,,,Modes,,,,Context,,Challenge,,,Origin,,,Cross Origin,Top Origin,,,RP ID Hash,,,User Present,User Verified,Backup State,Credential ID Length,Credential ID Unused,,,Allow Credentials,Non-Discoverable Identification,Discoverable Identification,Context,,Challenge,,,Origin,,,Cross Origin,Top Origin,,,RP ID Hash,,,User Present,User Verified,Backup State,Backup Eligible,,Signature,Signature Counter,,,,,Account Enumeration,,,Registration,,,Authentication,,,Responsible Disclosure,,,
Name,Domain,Rank,Part 1,Part 2,Availability,Account 1,Account 2,Login URL,Config URL,Confirm,nav.cred.create,create client data,nav.cred.get,get client data,Multiple pks,Single Use CID,-,ES256,ES384,ES512,PS256,PS384,PS512,RS256,RS384,RS512,EdDSA,Discoverable,Non-Discoverable,Conditional Mediation,Signals,Nonsense,Swap,Bit Flip,Reuse,Session Binding,Cross Site,Downscoping,Upscoping,-,Cross Site,Downscoping,Upscoping,Cross Site,Downscoping,Upscoping,-,-,-,-,ID+Pubkey Swap,ID Swap,Pubkey Swap,-,-,-,Nonsense,Swap,Bit Flip,Reuse,Session Binding,Cross Site,Downscoping,Upscoping,-,Cross Site,Downscoping,Upscoping,Cross Site,Downscoping,Upscoping,-,-,-,Swap to Off,Swap to On,-,-,Registration CSRF,Login CSRF,Delete CSRF,False Delete,... via classic registration,... via classic login,... via passkey login,No account,Valid account w/out passkey,Valid account with passkey,No account,Valid account w/out passkey,Valid account with passkey,Bug Bounty Program | Mail,Reported Attacks,Helper domain,PoC?
Google,google.com,1,LJ,LJ,TRUE,TRUE,TRUE,https://accounts.google.com,https://myaccount.google.com/signinoptions/passkeys,[Password],"{
  ""rp"": {
    ""name"": ""Google"",
    ""id"": ""google.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""Donald Demoson"",
    ""id"": ""R09PR0xFX0FDQ09VTlQ6MTEwNTkxMTAxMjIxMjg3MDcwNjg3""
  },
  ""challenge"": ""AP2JV8c5Os8fnP2pbk0oIU_kqn7zXiJSOwZtGIkRO-BkBizfC5X3YHfVr_BT0HtD3o9LkCOF_N8ndcB28rwHkAMzuUNNzVmJ4g"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""S4AvKlWOPBLRs4wMjthrFBAol2mcN9j0ncCCraNSDvs""
    }
  ],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""residentKey"": ""preferred"",
    ""userVerification"": ""preferred""
  },
  ""attestation"": ""direct"",
  ""extensions"": {
    ""appidExclude"": ""https://www.gstatic.com/securitykey/origins.json"",
    ""googleLegacyAppidSupport"": false
  }
}","{
  ""origin"": ""https://myaccount.google.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""AP2JV8eS6vMKKRqYo9TtNGQw6aA0ViHrsF8t1t7UumosbN-MUnZnDOV1JjBZLXmH4tJoI7TbbZ7Sxzw7xb1eaIuaVPpyAEKWnN_ur7XiDF-4kFnXxaMFH2Q7zz5xPKATLVN6RL6_qNNHTTGfcTpxRlAOoZi9ayfgTOlVG6CJZNodKO_Uce9nUzVadV0PcsMhs5LAfIbFoc1kuxmO_H1APn1u52YVoG3StzVHIVY7gVKnlkwXPxt4IsdRl5ZELlFMaEyYkcYKdpOslF3kcXP50AGZQUGoPCbgJn14nXWOETtOeKmqwKZYowT63XliTC8yjg1Q4hCwk_2YRMcueuS9y1AWXHjq21RTuiTP_bCwQQ9Y1ZoB30DUIsWIVeGtmJB6mraTR0IHwlMKoUi2aJgNH54GvcjuXajvzcs1ysv2B4WFPUxj1-Itq2Ef3xr9VPBtbIYyNznATkdzXkM4TN1J7kFcTA0ieltkHiiHmBW1h2lB96LPPE9OC1v4cPnhU-m_C_dovCBPTiDx4DDk4njFnTD7En_hwOPCne_tWe7x6fbVSHI5a_aCTWk9d2tSajLBTDigqWPTeobQprolR7GgRmznB16dkx_jqCHZwpg2PypCXI-7ksJ6ywYUn0R_F4erow_aCN8rAdZ98SgytdVkUToYDOzcalUEZ6qht1SEIXVX0wuQizmjn7utDKXr1NTHMF3DFLtyuHxiaTJMWqdFvXTqDyEw5ctbU0AOiuzZQa_AobRHJ-kkuflBhSWB4iDrcar8Pzz1qlwHM_bbaLldgpQWmd8FEiSFjZSZrtbXOVQ8MkYGvIbAJyTydRBbPEkIR_EEiKAvHd4xFMoRwX0fZlAdNEBKL7zNs_GJfRO1073bU1T5opA2GoFFucrS7MoY0PlFdzJ2r8uHiaODYpq5zaX9OMU--sr0kPMB640wG08"",
  ""timeout"": 180000,
  ""rpId"": ""google.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""y2bnfOO3cQwbir2F9xQxf_96APpmzQlZcG6Ee_FkJbo"",
      ""transports"": [
        ""internal"",
        ""hybrid""
      ]
    }
  ],
  ""userVerification"": ""preferred""
}","{
  ""origin"": ""https://accounts.google.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,FALSE,Failure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,Failure,Failure,Failure,Success,Failure,Failure,Failure,Failure,Success,Success,Derived,Derived,Failure,Failure,N/A,Success,N/A,Success,Success,Failure,Failure,Failure,Failure,Success,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Failure,Success,Success,Derived,Derived,Failure,Failure,N/A,Success,N/A,Success,Success,Success,Failure,Success,,,,Failure,TRUE,TRUE,TRUE,-,Dieser Nutzername ist vergeben. Versuchen Sie es mit einem anderen Namen.,Dieser Nutzername ist vergeben. Versuchen Sie es mit einem anderen Namen.,Das Google-Konto wurde nicht gefunden,Password prompt,Passkey prompt,,,google.com,
Microsoft,microsoft.com,3,LJ,,TRUE,TRUE,TRUE,https://www.microsoft.com/cascadeauth/store/account/signin,https://account.live.com/proofs/manage/additional,-,"{
  ""rp"": {
    ""name"": ""Microsoft"",
    ""id"": ""login.microsoft.com""
  },
  ""user"": {
    ""name"": ""donald.demoson@gmail.com"",
    ""displayName"": ""Donald Demoson"",
    ""id"": ""TUY6LOFU0H3jQRYgbhm1WJeF8pWE39QiQAdj7PnuYiyiQcg""
  },
  ""challenge"": ""LUNzdW1pUmxxbmQxTSFYNWc4aUs2dUJZWk9mVXpWKjlYUmNETEF2Kk53ZU4yYkpLeURmaSp5T1MwTGIzWTlTamg3Ykk3dVFXcGZieTdKYXh1djVlaHY0VlJRTllLTWxMb0s5T3g0ZmUxWHladA"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 600000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""y2bnfOO3cQwbir2F9xQxf_96APpmzQlZcG6Ee_FkJbo""
    }
  ],
  ""authenticatorSelection"": {
    ""requireResidentKey"": true,
    ""userVerification"": ""required""
  },
  ""attestation"": ""direct"",
  ""extensions"": {
    ""hmacCreateSecret"": true,
    ""credentialProtectionPolicy"": ""userVerificationOptional""
  }
}","{
  ""origin"": ""https://login.microsoft.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""Ty5leUowZVhBaU9pSktWMVFpTENKaGJHY2lPaUpTVXpJMU5pSXNJbmcxZENJNklrcFphRUZqVkZCTldsOU1XRFpFUW14UFYxRTNTRzR3VG1WWVJTSjkuZXlKaGRXUWlPaUoxY200NmJXbGpjbTl6YjJaME9tWnBaRzg2WTJoaGJHeGxibWRsSWl3aWFYTnpJam9pYUhSMGNITTZMeTlzYjJkcGJpNXRhV055YjNOdlpuUXVZMjl0SWl3aWFXRjBJam94TnpVME1EWXhNVFkyTENKdVltWWlPakUzTlRRd05qRXhOallzSW1WNGNDSTZNVGMxTkRBMk1UUTJObjAuT3F5U2JnZE94MWRobktWR2RmdmFDQUxWSzFNU3lOTU92dUZaclZOa2RWdGthWnAxNThhdHNVLTlnamVmb3VIc3FjS1dNNmxxaHRDTGhrMlM1ckljaHhGWDBDb19td3FHRlJ5UkdoMTQ1Q3dyVThJaWgxVDk4QnJKMmpnekdtTzdzelhiQm1kZjBuenZSQXF1NmFQYXFiV0JJbzFlYVA5MC1VaVQ5RUprUWRQeGdnSWx6LWtBZzZad1F4aUgzRE90ckRsZmR2MlJNdUNldE0yQ1A0SklBRTM4QWdkMzlxekI5cWE3NHhvQ3ItS0ZESUNWbjN5X05idS1Ud0tDT3ZIN3pTRnpvTWV6RGhPNGQzZ2RIZ3J5UkF1N2k3emthZjgwbzJ5Z25mRVZTVm5uLU5JQnZnN280cF9ZblRkd0FITVlQeWhocHFUR1cwWmU4bFpzT25fWUxB"",
  ""timeout"": 600000,
  ""rpId"": ""login.microsoft.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""h2RpbDr2QGgutuuUF7hU-u1ZQTObFLPGt109JYPMDn0""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""ee4rBC5ffu-05btZclqvCY7n7-4edSWv0zAawfleVxk""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""bdzusU5pwuKNYjZVdbX86dgIVu78MEt882D01kRIZ5o""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""X_vf1To1NTg1ugUoCaDZHHRNC45pVs4KoLSs089INHY""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""5tuKz-CZqIZKZ44D7dfsqrxpIRoMdr0BFAjt1-PYFZI""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""y2bnfOO3cQwbir2F9xQxf_96APpmzQlZcG6Ee_FkJbo""
    }
  ],
  ""userVerification"": ""required""
}","{
  ""origin"": ""https://login.microsoft.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,TRUE,Success,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failure,TRUE,TRUE,TRUE,-,You already have an account,You already have an account,"We couldn't find an account with that username. Try another, or get a new Microsoft account.",We'll send a code to X to sign you in.,Passkey button,,,,
Microsoft Entra ID,microsoft.com,3,LJ,,Duplicate,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,facebook.com,4,,,Mobile App,TRUE,TRUE,https://www.facebook.com/,https://accountscenter.facebook.com/password_and_security,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple,apple.com,8,LJ,,Mobile App,TRUE,,,https://account.apple.com/account/manage,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apple ID,apple.com,8,LJ,,Duplicate,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,youtube.com,9,LJ,,Duplicate,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloudflare,cloudflare.com,10,LJ,,TRUE,TRUE,TRUE,https://dash.cloudflare.com/login,https://dash.cloudflare.com/profile/authentication/management,Password,"{
  ""rp"": {
    ""name"": ""Cloudflare Dashboard"",
    ""id"": ""dash.cloudflare.com""
  },
  ""user"": {
    ""name"": ""22c52a24736164b49ff399a83da031f4"",
    ""displayName"": ""22c52a24736164b49ff399a83da031f4's security key"",
    ""id"": ""MjJjNTJhMjQ3MzYxNjRiNDlmZjM5OWE4M2RhMDMxZjQ""
  },
  ""challenge"": ""UHRScWplTmRhZnVHQit4ZVdMS2xjNkp6RWNMRlZjSFVCR2dTbkFnb1hldz0"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""timeout"": 60000,
  ""excludeCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""WwgHizOOE7CmGgt8EXOkU4EIa33RuFJ2lsGIG2K_xzc""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""f4K2B6dDg_smAZ_78Qf7YezxEa2Xwgu9DG6K7gQ-FlM""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""GCZzbr0UOP0CRnWb8oTlb1yuQc5A9y50R_AACnb5Yus""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""xnZjh0vqWvskCPXmWCmPaPhKj203n1AaGV4Mf52juHo""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""nNq8zIA9qE2NZE6-AV4ZF5EZ7TFIN8ILWgPmz0L0to0""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""x68sqveQiWEcLvK-Q3TonlYL2X5dyVmVs401kZbKDw4""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""U5d8Bo7R-3l3Z3w1f96fP-9eiwdEciiXcblCacd3YRc""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""5EJvARbvH8YNWYNF4sWPZno1YlRPjKL9AueVXrAIad8""
    },
    {
      ""type"": ""public-key"",
      ""id"": ""IXkKXZb6-Vgr_mwwubdLyiA4SJdG12uQitoa60XohQg""
    }
  ],
  ""authenticatorSelection"": {
    ""requireResidentKey"": false,
    ""userVerification"": ""preferred""
  },
  ""attestation"": ""none""
}","{
  ""origin"": ""https://dash.cloudflare.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""em9xSHNBR2FjakJHMjl0ZGpVTzZ4S1FZd3VDb2tGMmxZeUNLTHNJTnFZUT0"",
  ""timeout"": 60000,
  ""rpId"": ""dash.cloudflare.com"",
  ""allowCredentials"": [
    {
      ""type"": ""public-key"",
      ""id"": ""y2bnfOO3cQwbir2F9xQxf_96APpmzQlZcG6Ee_FkJbo""
    }
  ],
  ""userVerification"": ""preferred""
}","{
  ""origin"": ""https://dash.cloudflare.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",TRUE,TRUE,Success,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,2FA,FALSE,FALSE,,,,,,,,,,,,,,,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,Failure,N/A,N/A,N/A,,,,,,,,,,
Twitter,twitter.com,13,LJ,,TRUE,TRUE,TRUE,https://x.com/i/flow/login,https://x.com/settings/account/passkey,Password,"{
  ""rp"": {
    ""name"": ""X"",
    ""id"": ""x.com""
  },
  ""user"": {
    ""name"": ""AttackerAxel"",
    ""displayName"": ""AttackerAxel"",
    ""id"": ""MTI1ODQzMjAyNjc0ODgxNzQxMQ""
  },
  ""challenge"": ""lKAb1FbNSFGz49xC3ccym56FcolBgfLLwrx2BD9eT3M"",
  ""pubKeyCredParams"": [
    {
      ""type"": ""public-key"",
      ""alg"": -7
    },
    {
      ""type"": ""public-key"",
      ""alg"": -257
    }
  ],
  ""excludeCredentials"": [],
  ""authenticatorSelection"": {
    ""authenticatorAttachment"": ""platform"",
    ""requireResidentKey"": true,
    ""userVerification"": ""preferred""
  },
  ""attestation"": ""none"",
  ""extensions"": {}
}","{
  ""origin"": ""https://x.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}","{
  ""challenge"": ""wVy7OXBgkkUhJYh_fI4YEi1hGqq5E7mUwYxBIfXhnis"",
  ""rpId"": ""x.com"",
  ""userVerification"": ""preferred"",
  ""extensions"": {
    ""appid"": ""https://api.x.com/1.1/onboarding/x_u2f_trusted_facets.json""
  }
}","{
  ""origin"": ""https://x.com"",
  ""crossOrigin"": ""N/A"",
  ""topOrigin"": ""N/A"",
  ""mediation"": ""N/A""
}",FALSE,FALSE,Failure,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,Failure,N/A,N/A,N/A,,,,,,,,,,
